".rownames","t","y","estimate","Resid"
"R1",1786,-0.116702671046823,-0.352306367617286,0.235603696570462
"R1",1787,0.145203823886891,-0.0910534073479533,0.236257231234845
"R1",1788,0.169013505244502,0.147138024436934,0.0218754808075683
"R1",1789,0.121394142529281,-0.0460005009267692,0.16739464345605
"R1",1790,-0.164322033762044,0.0252713236739478,-0.189593357435992
"R1",1791,-0.47384789141098,-0.0912300880860239,-0.382617803324956
"R1",1792,-0.47384789141098,-0.33676919673336,-0.137078694677621
"R1",1793,-0.47384789141098,-0.375779678032201,-0.0980682133787792
"R1",1794,-0.47384789141098,-0.379108793438857,-0.0947390979721232
"R1",1795,-0.47384789141098,-0.363754902869092,-0.110092988541888
"R1",1796,-0.47384789141098,-0.359821563708969,-0.114026327702011
"R1",1797,-0.47384789141098,-0.360995610482653,-0.112852280928327
"R1",1798,0.192823186602112,-0.365715482729479,0.558538669331591
"R1",1799,0.335681274747775,0.134877701775922,0.200803572971853
"R1",1800,0.478539362893438,0.357508750923851,0.121030611969587
"R1",1801,0.59758776968149,0.503123239229875,0.0944645304516151
"R1",1802,0.669016813754321,0.607041020897292,0.061975792857029
"R1",1803,0.692826495111932,0.655353436829261,0.0374730582826711
"R1",1804,0.692826495111932,0.687937258600176,0.00488923651175621
"R1",1805,0.59758776968149,0.705258826978668,-0.107671057297178
"R1",1806,0.359490956105385,0.641384078334412,-0.281893122229026
"R1",1807,0.383300637462996,0.443120147923654,-0.0598195104606575
"R1",1808,0.407110318820606,0.426361863877656,-0.0192515450570497
"R1",1809,0.311871593390165,0.335166696562028,-0.0232951031718633
"R1",1810,-0.47384789141098,0.348255863053733,-0.822103754464714
"R1",1811,-0.47384789141098,-0.232648573045221,-0.241199318365759
"R1",1812,-0.47384789141098,-0.402642941050392,-0.0712049503605879
"R1",1813,-0.47384789141098,-0.41145301317142,-0.06239487823956
"R1",1814,-0.47384789141098,-0.398749439622202,-0.0750984517887786
"R1",1815,-0.47384789141098,-0.41127017405596,-0.0625777173550205
"R1",1816,-0.47384789141098,-0.42179025452307,-0.0520576368879099
"R1",1817,-0.47384789141098,-0.429929945227647,-0.0439179461833332
"R1",1818,-0.47384789141098,-0.417848772686331,-0.0559991187246495
"R1",1819,-0.47384789141098,-0.44935764054027,-0.0244902508707103
"R1",1820,-0.47384789141098,-0.407657202271134,-0.0661906891398461
"R1",1821,-0.47384789141098,-0.38646152264548,-0.0873863687655002
"R1",1822,-0.235751077834876,-0.362799799089663,0.127048721254787
"R1",1823,0.383300637462996,-0.171612571344993,0.554913208807989
"R1",1824,0.192823186602112,0.330041946123554,-0.137218759521442
"R1",1825,0.240442549317333,0.278161356654093,-0.0377188073367599
"R1",1826,0.335681274747775,0.300963384551914,0.0347178901958607
"R1",1827,0.216632867959723,0.354347039436631,-0.137714171476908
"R1",1828,0.359490956105385,0.251718416699577,0.107772539405809
"R1",1829,-0.259560759192486,-0.0118652245577869,-0.247695534634699
"R1",1830,-0.47384789141098,-0.360162253045851,-0.113685638365129
"R1",1831,-0.47384789141098,-0.456738434280464,-0.0171094571305159
"R1",1832,-0.47384789141098,-0.43342362527197,-0.04042426613901
"R1",1833,-0.47384789141098,-0.41418897992224,-0.0596589114887406
"R1",1834,-0.47384789141098,-0.426659086130499,-0.0471888052804814
"R1",1835,-0.47384789141098,-0.416919868795701,-0.0569280226152797
"R1",1836,-0.47384789141098,-0.399339060576432,-0.0745088308345483
"R1",1837,-0.47384789141098,-0.401062897314836,-0.0727849940961439
"R1",1838,-0.47384789141098,-0.398218073087622,-0.0756298183233586
"R1",1839,-0.47384789141098,-0.370292978435997,-0.103554912974983
"R1",1840,-0.47384789141098,-0.36218814496023,-0.111659746450751
"R1",1841,-0.47384789141098,-0.350057398014402,-0.123790493396578
"R1",1842,-0.47384789141098,-0.351752935257646,-0.122094956153334
"R1",1843,0.121394142529281,-0.365708919857519,0.4871030623868
"R1",1844,-0.47384789141098,0.0260107953172798,-0.49985868672826
"R1",1845,-0.47384789141098,-0.324247841865347,-0.149600049545633
"R1",1846,-0.47384789141098,-0.415878103395621,-0.0579697880153594
"R1",1847,-0.47384789141098,-0.41529568957614,-0.0585522018348399
