"Date","DivName","MnDischarge_cfs"
2003-11-29,"BELCN",4
2003-11-30,"BELCN",4
2003-12-01,"BELCN",4
2003-12-02,"BELCN",4
2003-12-03,"BELCN",4
2003-12-04,"BELCN",4
2003-12-05,"BELCN",4
2003-12-06,"BELCN",4
2003-12-07,"BELCN",4
2003-12-08,"BELCN",4
2003-12-09,"BELCN",4
2003-12-10,"BELCN",4
2003-12-11,"BELCN",4
2003-12-12,"BELCN",4
2003-12-13,"BELCN",4
2003-12-14,"BELCN",4
2003-12-15,"BELCN",4
2003-12-16,"BELCN",4
2003-12-17,"BELCN",3.75
2003-12-18,"BELCN",3.52083333333333
2003-12-19,"BELCN",3.27083333333333
2003-12-20,"BELCN",3.20833333333333
2003-12-21,"BELCN",3
2003-12-22,"BELCN",3
2003-12-23,"BELCN",NA
2003-12-24,"BELCN",NA
2003-12-25,"BELCN",NA
2003-12-26,"BELCN",NA
2003-12-27,"BELCN",NA
2003-12-28,"BELCN",NA
2003-12-29,"BELCN",NA
2003-12-30,"BELCN",NA
2003-12-31,"BELCN",NA
2004-01-01,"BELCN",NA
2004-01-02,"BELCN",NA
2004-01-03,"BELCN",NA
2004-01-04,"BELCN",NA
2004-01-05,"BELCN",3
2004-01-06,"BELCN",3
2004-01-07,"BELCN",3
2004-01-08,"BELCN",3
2004-01-09,"BELCN",3
2004-01-10,"BELCN",3
2004-01-11,"BELCN",3
2004-01-12,"BELCN",3
2004-01-13,"BELCN",3
2004-01-14,"BELCN",3
2004-01-15,"BELCN",NA
2004-01-16,"BELCN",NA
2004-01-17,"BELCN",1
2004-01-18,"BELCN",1.8125
2004-01-19,"BELCN",3
2004-01-20,"BELCN",3
2004-01-21,"BELCN",3
2004-01-22,"BELCN",3
2004-01-23,"BELCN",3
2004-01-24,"BELCN",3
2004-01-25,"BELCN",3
2004-01-26,"BELCN",3
2004-01-27,"BELCN",3
2004-01-28,"BELCN",3
2004-01-29,"BELCN",3
2004-01-30,"BELCN",3
2004-01-31,"BELCN",3
2004-02-01,"BELCN",3
2004-02-02,"BELCN",3
2004-02-03,"BELCN",3
2004-02-04,"BELCN",3
2004-02-05,"BELCN",3
2004-02-06,"BELCN",3
2004-02-07,"BELCN",3
2004-02-08,"BELCN",3
2004-02-09,"BELCN",3
2004-02-10,"BELCN",3
2004-02-11,"BELCN",3
2004-02-12,"BELCN",3
2004-02-13,"BELCN",3
2004-02-14,"BELCN",3
2004-02-15,"BELCN",3
2004-02-16,"BELCN",3
2004-02-17,"BELCN",3
2004-02-18,"BELCN",3
2004-02-19,"BELCN",3
2004-02-20,"BELCN",2.95744680851064
2004-02-21,"BELCN",2.56756756756757
2004-02-22,"BELCN",3
2004-02-23,"BELCN",3
2004-02-24,"BELCN",3
2004-02-25,"BELCN",3
2004-02-26,"BELCN",3
2004-02-27,"BELCN",3
2004-02-28,"BELCN",3
2004-02-29,"BELCN",3
2004-03-01,"BELCN",3
2004-03-02,"BELCN",3
2004-03-03,"BELCN",2.86363636363636
2004-03-04,"BELCN",1.97872340425532
